BFS_NUMMER;Gemeindenamen;Totaler_Bestand_1981;Totaler_Bestand_1982;Totaler_Bestand_1983;Totaler_Bestand_1984;Totaler_Bestand_1985;Totaler_Bestand_1986;Totaler_Bestand_1987;Totaler_Bestand_1988;Totaler_Bestand_1989;Totaler_Bestand_1990;Totaler_Bestand_1991;Totaler_Bestand_1992;Totaler_Bestand_1993;Totaler_Bestand_1994;Totaler_Bestand_1995;Totaler_Bestand_1996;Totaler_Bestand_1997;Totaler_Bestand_1998;Totaler_Bestand_1999;Totaler_Bestand_2000;Totaler_Bestand_2001;Totaler_Bestand_2002;Totaler_Bestand_2003;Totaler_Bestand_2004;Totaler_Bestand_2005;Totaler_Bestand_2006;Totaler_Bestand_2007;Totaler_Bestand_2008;Totaler_Bestand_2009;Totaler_Bestand_2010;Totaler_Bestand_2011;Totaler_Bestand_2012;Totaler_Bestand_2013;Totaler_Bestand_2014;Totaler_Bestand_2015;Totaler_Bestand_2016;Totaler_Bestand_2017;Totaler_Bestand_2018
1;Aeugst am Albis;867;905;945;958;969;1008;1000;1043;1104;1144;1203;1236;1290;1317;1351;1386;1431;1447;1455;1513;1517;1494;1490;1541;1602;1617;1645;1704;1700;1740;1824;1910;1955;1972;1959;1981;1977;1941
2;Affoltern am Albis;8041;8223;8281;8422;8629;8699;8827;8958;9101;9314;9053;9127;9227;9226;9245;9351;9451;9480;9551;9744;9918;10049;10153;10246;10166;10176;10302;10410;10630;10735;11091;11160;11276;11363;11552;11708;11900;12146
3;Bonstetten;2129;2338;2455;2566;2568;2536;2534;2562;2552;2583;2727;2717;2779;3009;3216;3408;3561;3612;3709;3769;3892;4006;4112;4166;4330;4475;4612;4791;4990;5110;5159;5173;5205;5260;5287;5326;5435;5512
4;Hausen am Albis;2216;2279;2329;2393;2463;2490;2491;2522;2629;2676;2680;2693;2773;2820;2921;2996;3034;3030;3042;3077;3033;3105;3108;3097;3142;3205;3256;3245;3253;3316;3360;3356;3376;3431;3467;3477;3571;3664
5;Hedingen;1919;1994;2004;1963;1962;1978;1964;2056;2076;2116;2181;2208;2398;2472;2653;2711;2802;2818;2920;2985;2992;3064;3084;3064;3108;3184;3307;3330;3403;3413;3410;3469;3511;3595;3651;3660;3687;3694
6;Kappel am Albis;568;577;581;593;602;627;645;655;662;688;731;773;780;817;828;846;855;852;860;871;866;877;876;892;861;847;857;846;865;881;918;956;922;956;1014;1033;1110;1125
7;Knonau;941;937;916;917;928;934;946;995;1014;1017;1011;1092;1089;1137;1170;1222;1228;1244;1323;1320;1435;1473;1488;1486;1475;1517;1583;1674;1733;1742;1800;1894;1982;2007;2037;2097;2168;2305
8;Maschwanden;424;438;432;472;466;483;494;499;493;511;505;497;502;505;519;521;510;507;500;527;580;585;574;573;578;577;568;572;568;588;616;641;641;664;665;641;626;641
9;Mettmenstetten;2279;2435;2519;2677;2799;2816;2874;2936;2974;2945;2873;2897;2977;3008;3106;3261;3399;3461;3518;3597;3664;3698;3766;3779;3918;3989;4005;4084;4109;4150;4243;4377;4420;4423;4473;4669;4861;4886
10;Obfelden;3290;3329;3420;3508;3604;3655;3650;3619;3682;3686;3853;3921;3973;3993;4049;4063;4099;4157;4198;4206;4177;4212;4230;4214;4330;4361;4406;4472;4520;4646;4686;4761;4833;4867;4927;5009;5131;5356
